date,crime_type,state,Primary Category,Secondary Category
07-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
07-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
07-2010,VIOLATION OF RESTRAINING ORDER,California,,OTHER
07-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
07-2010,ROBBERY,California,Violent Crimes,ROBBERY
07-2010,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY
07-2010,ROBBERY,California,Violent Crimes,ROBBERY
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
07-2010,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY
07-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
07-2010,LEWD CONDUCT,California,,OTHER
07-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
07-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California,,OTHER
07-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
07-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
07-2010,BATTERY POLICE (SIMPLE),California,Violent Crimes,BATTERY
07-2010,ROBBERY,California,Violent Crimes,ROBBERY
07-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California,,OTHER
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
07-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
07-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
07-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
07-2010,ROBBERY,California,Violent Crimes,ROBBERY
07-2010,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
07-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
07-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
07-2010,ROBBERY,California,Violent Crimes,ROBBERY
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
07-2010,ROBBERY,California,Violent Crimes,ROBBERY
07-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California,,OTHER
07-2010,ROBBERY,California,Violent Crimes,ROBBERY
07-2010,ROBBERY,California,Violent Crimes,ROBBERY
07-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
07-2010,ROBBERY,California,Violent Crimes,ROBBERY
07-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California,,OTHER
07-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
07-2010,DOCUMENT FORGERY / STOLEN FELONY,California,,OTHER
07-2010,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),California,,OTHER
07-2010,"RAPE, FORCIBLE",California,Sexual Offenses,RAPE
07-2010,"RAPE, FORCIBLE",California,Sexual Offenses,RAPE
07-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
07-2010,ROBBERY,California,Violent Crimes,ROBBERY
08-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
08-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
08-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
08-2010,THEFT PLAIN - PETTY ($950 & UNDER),California,,OTHER
07-2010,SHOTS FIRED AT INHABITED DWELLING,California,,OTHER
07-2010,THEFT PLAIN - PETTY ($950 & UNDER),California,,OTHER
08-2010,BATTERY POLICE (SIMPLE),California,Violent Crimes,BATTERY
08-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
08-2010,ROBBERY,California,Violent Crimes,ROBBERY
